Date,AUD,CAD,JPY,pnl,signal
2021-08-02,1.36197,1.24667,109.706001,-0.0,0
2021-08-03,1.358585,1.25011,109.268997,-0.0,0
2021-08-04,1.351936,1.25333,108.990997,0.0,0
2021-08-05,1.354463,1.2545,109.528999,0.0,0
2021-08-06,1.350804,1.25013,109.751999,0.0,0
2021-08-09,1.3628,1.25709,110.259003,0.0,0
2021-08-10,1.36407,1.25738,110.306,0.0,0
2021-08-11,1.361693,1.2519,110.598,0.0,0
2021-08-12,1.3561,1.25068,110.374001,0.0,0
2021-08-13,1.36212,1.252,110.403,0.0,0
2021-08-16,1.35764,1.2516,109.624001,0.0,0
2021-08-17,1.3622,1.25696,109.296997,0.0,0
2021-08-18,1.378246,1.26265,109.537003,0.0,0
2021-08-19,1.382935,1.26631,109.842003,0.0,0
2021-08-20,1.399345,1.28313,109.767998,0.0,0
2021-08-23,1.4006,1.2826,109.839996,0.0,0
2021-08-24,1.38704,1.2651,109.678001,0.0,0
2021-08-25,1.379539,1.2596,109.730003,0.0,0
2021-08-26,1.374268,1.25887,109.975998,0.0,0
2021-08-27,1.381521,1.26849,110.047997,10604.056788667604,1
2021-08-30,1.36687,1.2611,109.864998,10604.056788667604,0
2021-08-31,1.37151,1.26089,109.944,16555.725409970855,1
2021-09-01,1.366512,1.26161,110.056,16555.725409970855,0
2021-09-02,1.35722,1.26217,110.096001,16555.725409970855,0
2021-09-03,1.351479,1.25518,109.945,16555.725409970855,0
2021-09-06,1.34318,1.25303,109.764,16555.725409970855,0
2021-09-07,1.34468,1.25343,109.82,16555.725409970855,0
2021-09-08,1.353803,1.26464,110.295998,16555.725409970855,0
2021-09-09,1.358,1.2694,110.218002,16555.725409970855,0
2021-09-10,1.3567,1.26626,109.780998,16555.725409970855,0
2021-09-13,1.3572,1.26795,109.915001,16555.725409970855,0
2021-09-14,1.357607,1.2648,109.994003,16555.725409970855,0
2021-09-15,1.366662,1.269,109.719002,16555.725409970855,0
2021-09-16,1.362175,1.26181,109.383003,16555.725409970855,0
2021-09-17,1.37146,1.26815,109.698997,16555.725409970855,0
2021-09-20,1.37665,1.2764,109.971001,25615.4436574767,1
2021-09-21,1.377467,1.28024,109.436996,25615.4436574767,0
2021-09-22,1.383509,1.28208,109.149002,25615.4436574767,0
2021-09-23,1.382361,1.27859,109.821999,25615.4436574767,0
2021-09-24,1.3699,1.2662,110.325996,23880.975035590833,1
2021-09-27,1.37625,1.26494,110.764,23880.975035590833,0
2021-09-28,1.373513,1.26262,110.963997,23880.975035590833,0
2021-09-29,1.3804,1.2677,111.528,31375.391973132104,1
2021-09-30,1.392758,1.27538,111.935997,44691.56365322613,1
2021-10-01,1.3829,1.2684,111.460999,55610.50842089976,1
2021-10-04,1.37453,1.2625,110.946999,55610.50842089976,0
2021-10-05,1.371799,1.25898,110.968002,55610.50842089976,0
2021-10-06,1.3716,1.25827,111.487,55610.50842089976,0
2021-10-07,1.37336,1.25862,111.413002,55610.50842089976,0
2021-10-08,1.366718,1.2547,111.662003,55610.50842089976,0
2021-10-11,1.37082,1.24841,112.269997,55610.50842089976,0
2021-10-12,1.36084,1.24804,113.388,55610.50842089976,0
2021-10-13,1.36331,1.24761,113.518997,55610.50842089976,0
2021-10-14,1.3539,1.24368,113.301003,55610.50842089976,0
2021-10-15,1.348836,1.23746,113.834,55610.50842089976,0
2021-10-18,1.34684,1.23737,114.323997,55610.50842089976,0
2021-10-19,1.348254,1.23722,114.285004,55610.50842089976,0
2021-10-20,1.3374,1.2354,114.542999,55610.50842089976,0
2021-10-21,1.330619,1.23244,114.389,55610.50842089976,0
2021-10-22,1.339818,1.23703,113.849998,55610.50842089976,0
2021-10-25,1.33885,1.23713,113.664001,55610.50842089976,0
2021-10-26,1.334793,1.2379,113.764999,55610.50842089976,0
2021-10-27,1.33103,1.23914,114.188004,55610.50842089976,0
2021-10-28,1.3332,1.23697,113.776001,55610.50842089976,0
2021-10-29,1.327739,1.23461,113.615997,55610.50842089976,0
2021-11-01,1.33009,1.23829,114.236,55610.50842089976,0
2021-11-02,1.329699,1.23739,114.094002,55610.50842089976,0
2021-11-03,1.344267,1.2408,113.961998,55610.50842089976,0
2021-11-04,1.338867,1.23778,114.07,55610.50842089976,0
2021-11-05,1.34965,1.2451,113.836998,55610.50842089976,0
2021-11-08,1.3521,1.24508,113.474998,55610.50842089976,0
2021-11-09,1.348654,1.24422,113.253998,55610.50842089976,0
2021-11-10,1.355712,1.2436,112.912003,55610.50842089976,0
2021-11-11,1.36349,1.24865,113.904999,45722.472389435716,1
2021-11-12,1.371366,1.25885,114.042999,44532.326794958,1
2021-11-15,1.36379,1.25453,113.981003,35981.33299877503,1
2021-11-16,1.361489,1.2514,114.132004,21234.810989216974,1
2021-11-17,1.36956,1.25657,114.903999,12541.148211820502,1
2021-11-18,1.37578,1.26112,114.190002,8552.742231580862,1
2021-11-19,1.373815,1.26035,114.281998,3798.9972755254557,1
2021-11-22,1.382801,1.26535,114.138,-1804.2342094488695,1
2021-11-23,1.3835,1.27013,114.790001,-4685.377246032358,1
2021-11-24,1.38462,1.26759,115.140999,-12388.343357678474,1
2021-11-25,1.388503,1.26617,115.407997,-24034.675777727007,1
2021-11-26,1.39398,1.26637,115.069,-36049.311788867955,1
2021-11-29,1.40001,1.27248,113.719002,-36049.311788867955,0
2021-11-30,1.399423,1.2738,113.804001,-36049.311788867955,0
2021-12-01,1.403509,1.27743,113.299004,-36049.311788867955,0
2021-12-02,1.406945,1.28109,112.882004,-36049.311788867955,0
2021-12-03,1.410875,1.28177,113.022003,-36049.311788867955,0
2021-12-06,1.424928,1.2817,113.042,-36049.311788867955,0
2021-12-07,1.4186,1.2762,113.458,-36049.311788867955,0
2021-12-08,1.403982,1.26458,113.525002,-36049.311788867955,0
2021-12-09,1.3947,1.26522,113.683998,-36049.311788867955,0
2021-12-10,1.39936,1.27084,113.447998,-36049.311788867955,0
2021-12-13,1.39546,1.27199,113.500999,-36049.311788867955,0
2021-12-14,1.4019,1.28076,113.577003,-36049.311788867955,0
2021-12-15,1.407261,1.28671,113.742996,-36049.311788867955,0
2021-12-16,1.395381,1.28365,114.136002,-36049.311788867955,0
2021-12-17,1.39361,1.27797,113.663002,-36049.311788867955,0
2021-12-20,1.40509,1.28985,113.517998,-36049.311788867955,0
2021-12-21,1.406569,1.2936,113.662003,-36049.311788867955,0
2021-12-22,1.399032,1.2923,113.994003,-36049.311788867955,0
2021-12-23,1.386194,1.28512,114.121002,-36049.311788867955,0
2021-12-24,1.382514,1.28239,114.458,-36049.311788867955,0
2021-12-27,1.38288,1.2814,114.333,-36049.311788867955,0
2021-12-28,1.381788,1.2787,114.792,-36049.311788867955,0
2021-12-29,1.382361,1.2813,114.773003,-36049.311788867955,0
2021-12-30,1.37764,1.27826,114.947998,-36049.311788867955,0
2021-12-31,1.379348,1.27444,115.063004,-36049.311788867955,0
2022-01-03,1.37586,1.26588,115.141998,-36049.311788867955,0
2022-01-04,1.389275,1.27513,115.328003,-36049.311788867955,0
2022-01-05,1.381444,1.27044,116.174004,-36049.311788867955,0
2022-01-06,1.384888,1.27601,116.127998,-36049.311788867955,0
2022-01-07,1.396141,1.27302,115.864998,-36049.311788867955,0
2022-01-10,1.39293,1.26469,115.617996,-36049.311788867955,0
2022-01-11,1.392564,1.2665,115.278,-36049.311788867955,0
2022-01-12,1.387001,1.25775,115.331001,-36049.311788867955,0
2022-01-13,1.37321,1.25016,114.675003,-36049.311788867955,0
2022-01-14,1.3732,1.25078,114.117996,-36049.311788867955,0
2022-01-17,1.38571,1.25422,114.306,-36049.311788867955,0
2022-01-18,1.386809,1.25157,114.570999,-36049.311788867955,0
2022-01-19,1.391304,1.24975,114.554001,-36049.311788867955,0
2022-01-20,1.385617,1.25109,114.347,-36049.311788867955,0
2022-01-21,1.3856,1.25003,113.992996,-36049.311788867955,0
2022-01-24,1.39123,1.2561,113.785004,-36049.311788867955,0
2022-01-25,1.397722,1.26255,114.011002,-36049.311788867955,0
2022-01-26,1.396882,1.26159,113.875,-36049.311788867955,0
2022-01-27,1.403903,1.26585,114.721001,-36049.311788867955,0
2022-01-28,1.421363,1.27457,115.351997,-30749.000237816916,1
2022-01-31,1.42898,1.27591,115.262001,-29666.248164503486,1
2022-02-01,1.414767,1.27174,115.121002,-25576.430074559023,1
2022-02-02,1.40174,1.26896,114.736,-25576.430074559023,0
2022-02-03,1.404337,1.26864,114.382004,-25576.430074559023,0
2022-02-04,1.39958,1.26785,114.957001,-29778.440756305994,1
2022-02-07,1.41237,1.27453,115.223999,-28065.075723099813,1
2022-02-08,1.402525,1.26656,115.063004,-33014.55956264245,1
2022-02-09,1.3994,1.27054,115.530998,-34452.82044587607,1
2022-02-10,1.39326,1.26761,115.601997,-34452.82044587607,0
2022-02-11,1.396317,1.2732,116.046997,-34452.82044587607,0
2022-02-14,1.39962,1.27235,115.584,-34452.82044587607,0
2022-02-15,1.402112,1.27286,115.536003,-36600.82922605791,1
2022-02-16,1.39878,1.27237,115.635002,-36600.82922605791,0
2022-02-17,1.38995,1.26954,115.387001,-36600.82922605791,0
2022-02-18,1.39095,1.27048,114.865997,-36600.82922605791,0
2022-02-21,1.39437,1.27566,114.960999,-36600.82922605791,0
2022-02-22,1.391885,1.2756,114.609001,-36600.82922605791,0
2022-02-23,1.38372,1.27671,115.096001,-36600.82922605791,0
2022-02-24,1.383509,1.27339,114.898003,-36600.82922605791,0
2022-02-25,1.396609,1.28095,115.570999,-36600.82922605791,0
2022-02-28,1.3915,1.27552,115.584999,-36600.82922605791,0
2022-03-01,1.377031,1.26665,115.078003,-36600.82922605791,0
2022-03-02,1.37714,1.27235,114.833,-36600.82922605791,0
2022-03-03,1.3711,1.26461,115.518997,-36600.82922605791,0
2022-03-04,1.362955,1.26703,115.473999,-36600.82922605791,0
2022-03-07,1.3523,1.27141,114.949997,-36600.82922605791,0
2022-03-08,1.364536,1.28014,115.373001,-36600.82922605791,0
2022-03-09,1.37591,1.2889,115.722,-36600.82922605791,0
2022-03-10,1.366699,1.27985,115.908997,-36600.82922605791,0
2022-03-11,1.357589,1.27559,116.179001,-36600.82922605791,0
2022-03-14,1.37052,1.27354,117.528999,-36600.82922605791,0
2022-03-15,1.38914,1.28211,118.218002,-18083.19338239718,1
2022-03-16,1.390627,1.27688,118.292,-3301.1099033623123,1
2022-03-17,1.371968,1.26868,118.870003,-3301.1099033623123,0
2022-03-18,1.35483,1.26316,118.486,-3301.1099033623123,0
2022-03-21,1.34953,1.26058,119.263,-3301.1099033623123,0
2022-03-22,1.35212,1.2588,119.594002,-3301.1099033623123,0
2022-03-23,1.340069,1.25828,121.339996,-3301.1099033623123,0
2022-03-24,1.33348,1.25592,121.126999,-3301.1099033623123,0
2022-03-25,1.3308,1.25204,122.346001,-3301.1099033623123,0
2022-03-28,1.3301,1.24871,122.269997,-3301.1099033623123,0
2022-03-29,1.333422,1.25182,123.660004,-3301.1099033623123,0
2022-03-30,1.33073,1.24979,123.125,-3301.1099033623123,0
2022-03-31,1.3328,1.24823,122.021004,-3301.1099033623123,0
2022-04-01,1.33477,1.24985,121.755997,-3301.1099033623123,0
2022-04-04,1.33574,1.25265,122.610001,-3301.1099033623123,0
2022-04-05,1.325574,1.24862,122.808998,-3301.1099033623123,0
2022-04-06,1.31827,1.24844,123.655998,-3301.1099033623123,0
2022-04-07,1.33243,1.25638,123.723,-3301.1099033623123,0
2022-04-08,1.33717,1.25867,124.096001,-3301.1099033623123,0
2022-04-11,1.34291,1.2576,124.385002,-3301.1099033623123,0
2022-04-12,1.34856,1.26401,125.472,-134.49350044804396,1
2022-04-13,1.341382,1.26344,125.416,2301.2991636107563,1
2022-04-14,1.342012,1.25662,125.376999,8708.372572654318,1
2022-04-15,1.3495,1.2603,126.179001,9812.502335703284,1
2022-04-18,1.35248,1.2615,126.617996,1479.8240871379676,1
2022-04-19,1.35914,1.26002,127.098,-9151.7912274134,1
2022-04-20,1.35245,1.26037,129.332993,-24956.759172377177,1
2022-04-21,1.342823,1.24862,128.013,-24956.759172377177,0
2022-04-22,1.35849,1.25891,128.408005,-41786.64843092485,1
2022-04-25,1.3818,1.2721,128.604996,-52056.62431204218,1
2022-04-26,1.393049,1.27356,127.744003,-62806.973853754236,1
2022-04-27,1.399384,1.28061,127.265999,-64965.33692626584,1
2022-04-28,1.40337,1.2814,128.393997,-58935.75428643917,1
2022-04-29,1.4067,1.28046,130.811005,-60682.07065035903,1
2022-05-02,1.41535,1.2853,130.011002,-65729.21344115025,1
2022-05-03,1.418239,1.2874,130.112,-76060.9990565987,1
2022-05-04,1.4077,1.28338,130.115997,-91209.25861826613,1
2022-05-05,1.378759,1.27372,129.223007,-111002.40027928933,1
2022-05-06,1.404297,1.2827,130.330002,-126060.25900724206,1
2022-05-09,1.419044,1.29182,130.748993,-125192.51282300105,1
2022-05-10,1.43732,1.30084,130.376999,-112865.66457397374,1
2022-05-11,1.441753,1.30312,130.350998,-95446.99982276151,1
2022-05-12,1.443522,1.29944,129.835007,-86893.88825976175,1
2022-05-13,1.4552,1.30231,128.587997,-86893.88825976175,0
2022-05-16,1.43964,1.2907,129.432007,-79478.9647505515,1
2022-05-17,1.43414,1.285,128.923004,-79478.9647505515,0
2022-05-18,1.4219,1.28081,129.453995,-79478.9647505515,0
2022-05-19,1.436988,1.28842,127.914001,-79478.9647505515,0
2022-05-20,1.420152,1.28196,127.832001,-79478.9647505515,0
2022-05-23,1.41585,1.2812,127.903,-79478.9647505515,0
2022-05-24,1.41064,1.27871,127.846001,-79478.9647505515,0
2022-05-25,1.407816,1.28224,126.768997,-79478.9647505515,0
2022-05-26,1.410557,1.28202,127.152,-79478.9647505515,0
2022-05-27,1.40869,1.2773,127.044998,-79478.9647505515,0
2022-05-30,1.3961,1.27237,127.285004,-79478.9647505515,0
2022-05-31,1.389815,1.26552,127.783997,-79478.9647505515,0
2022-06-01,1.39225,1.2639,128.735992,-79478.9647505515,0
2022-06-02,1.394,1.26653,130.121994,-79478.9647505515,0
2022-06-03,1.375705,1.25698,129.917999,-79478.9647505515,0
2022-06-06,1.38794,1.25849,130.707001,-79478.9647505515,0
2022-06-07,1.39109,1.258,132.175995,-79478.9647505515,0
2022-06-08,1.384926,1.25366,132.847,-79478.9647505515,0
2022-06-09,1.3915,1.2552,134.429993,-79478.9647505515,0
2022-06-10,1.40881,1.27027,134.417999,-79478.9647505515,0
2022-06-13,1.42485,1.27976,134.813995,-95086.05678547322,1
2022-06-14,1.44059,1.289,134.225006,-102157.49526087726,1
2022-06-15,1.4514,1.29448,135.294006,-101159.9620291015,1
2022-06-16,1.42513,1.28734,134.115005,-108133.2260411968,1
2022-06-17,1.420354,1.29538,132.421005,-110697.30886184193,1
2022-06-20,1.438228,1.30005,135.276001,-102680.00264571575,1
2022-06-21,1.434823,1.29818,135.087006,-93914.75282055461,1
2022-06-22,1.43641,1.29319,136.268997,-89339.2847866854,1
2022-06-23,1.44818,1.29638,136.024002,-83090.88569639012,1
2022-06-24,1.44854,1.29871,134.839996,-74282.22928836427,1
2022-06-27,1.44022,1.28971,135.061996,-73420.82931940565,1
2022-06-28,1.44456,1.2869,135.434998,-72510.84044149204,1
2022-06-29,1.448352,1.2873,136.046997,-84923.76584119121,1
2022-06-30,1.45339,1.28833,136.589005,-96485.83427758828,1
2022-07-01,1.44978,1.28737,135.785995,-103604.45220138902,1
2022-07-04,1.46718,1.2886,135.042999,-108315.96838274381,1
2022-07-05,1.4548,1.28573,135.839996,-108315.96838274381,0
2022-07-06,1.47206,1.30348,135.520996,-108047.38428138771,1
2022-07-07,1.473622,1.3034,135.966003,-105501.40669522056,1
2022-07-08,1.460067,1.2966,135.912994,-116334.48573092397,1
2022-07-11,1.46075,1.2947,136.300995,-121131.01746951304,1
2022-07-12,1.48295,1.29948,137.388,-120091.05999221891,1
2022-07-13,1.48214,1.30313,136.725998,-107628.83901311104,1
2022-07-14,1.485376,1.30009,137.628006,-98477.24388775213,1
2022-07-15,1.48041,1.3108,138.966995,-80617.32775170615,1
2022-07-18,1.4674,1.30094,138.313995,-74056.19626601222,1
2022-07-19,1.468386,1.29813,138.229004,-63893.32576090356,1
2022-07-20,1.4497,1.28709,138.190994,-63893.32576090356,0
2022-07-21,1.45193,1.2883,138.395004,-63893.32576090356,0
2022-07-22,1.444481,1.2878,137.098007,-63893.32576090356,0
2022-07-25,1.44829,1.29246,136.311996,-63893.32576090356,0
2022-07-26,1.4386,1.28507,136.431,,0
2022-07-27,1.43939,1.28737,136.970001,,0
2022-07-28,1.429613,1.28171,136.110992,,0
2022-07-29,1.4284,1.2807,134.397003,,0
2022-08-01,1.43209,1.28149,133.054001,,0
